,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
362,4,1024,2500.0,10000.0,12,sn2014ad,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
363,3,1024,2500.0,10000.0,11,sn07ba,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
364,8,1024,2500.0,10000.0,7,sn1980K,-9.99,IIL,4,5,14,IIL,3,II
365,5,1024,2500.0,10000.0,10,sn2002he,1.44,Ia-norm,1,2,0,Ia-norm,0,Ia
366,15,1024,2500.0,10000.0,11,sn2007kk,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
367,14,1024,2500.0,10000.0,11,sn1995D,1.05,Ia-norm,1,2,0,Ia-norm,0,Ia
368,26,1024,2500.0,10000.0,10,sn91bg,1.93,Ia-91bg,1,4,2,Ia-91bg,0,Ia
369,6,1024,2500.0,10000.0,8,sn2008Q,1.25,Ia-norm,1,2,0,Ia-norm,0,Ia
370,1,1024,2500.0,10000.0,8,sn2005be,1.49,Ia-norm,1,2,0,Ia-norm,0,Ia
371,10,1024,2500.0,10000.0,8,sn1992H,-9.99,IIP,4,2,13,IIP,3,II
372,6,1024,2500.0,10000.0,8,sn1996Z,1.22,Ia-norm,1,2,0,Ia-norm,0,Ia
373,32,1024,2500.0,10000.0,10,sn2007af,1.2,Ia-norm,1,2,0,Ia-norm,0,Ia
374,51,1024,2500.0,10000.0,11,sn2002bo,1.08,Ia-norm,1,2,0,Ia-norm,0,Ia
375,12,1024,2500.0,10000.0,8,sn2006N,1.5,Ia-norm,1,2,0,Ia-norm,0,Ia
376,1,1024,2500.0,10000.0,11,sn04gs,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
377,1,1024,2500.0,10000.0,8,sn2004gc,1.08,Ia-norm,1,2,0,Ia-norm,0,Ia
378,8,1024,2500.0,10000.0,8,sn2003iv,1.65,Ia-norm,1,2,0,Ia-norm,0,Ia
379,1,1024,2500.0,10000.0,11,sn01dw,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
380,1,1024,2500.0,10000.0,10,sn07kk,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
381,2,1024,2500.0,10000.0,11,sn00dn,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
382,7,1024,2500.0,10000.0,8,sn2005hf,1.31,Ia-norm,1,2,0,Ia-norm,0,Ia
383,3,1024,2500.0,10000.0,9,sn2010ma,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
384,2,1024,2500.0,10000.0,11,sn05be,1.47,Ia-norm,1,2,0,Ia-norm,0,Ia
385,13,1024,2500.0,10000.0,12,sn1992A,1.41,Ia-norm,1,2,0,Ia-norm,0,Ia
386,1,1024,2500.0,10000.0,8,sn2003gn,1.22,Ia-norm,1,2,0,Ia-norm,0,Ia
387,13,1024,2500.0,10000.0,8,sn2002bf,1.12,Ia-norm,1,2,0,Ia-norm,0,Ia
388,3,1024,2500.0,10000.0,8,sn1998fa,-9.99,IIb,2,4,8,IIb,1,Ib
389,2,1024,2500.0,10000.0,9,sn2005ls,0.98,Ia-norm,1,2,0,Ia-norm,0,Ia
390,11,1024,2500.0,10000.0,11,sn2009bb,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
391,5,1024,2500.0,10000.0,11,sn01eh,-9.99,Ia-99aa,1,7,1,Ia-91T,0,Ia
392,2,1024,2500.0,10000.0,11,sn06cf,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
393,21,1024,2500.0,10000.0,13,sn98bw,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
394,8,1024,2500.0,10000.0,11,sn2005bl,1.93,Ia-91bg,1,4,2,Ia-91bg,0,Ia
395,21,1024,2500.0,10000.0,9,sn2006bp,-9.99,IIP,4,2,13,IIP,3,II
396,1,1024,2500.0,10000.0,10,sn97Y,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
397,6,1024,2500.0,10000.0,8,sn2001fh,1.51,Ia-norm,1,2,0,Ia-norm,0,Ia
398,18,1024,2500.0,10000.0,8,sn2004as,0.92,Ia-norm,1,2,0,Ia-norm,0,Ia
399,14,1024,2500.0,10000.0,11,sn2003bg,-9.99,IIb,2,4,8,IIb,1,Ib
400,7,1024,2500.0,10000.0,8,sn1998co,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
401,5,1024,2500.0,10000.0,6,sn1979C,-9.99,IIL,4,5,14,IIL,3,II
402,15,1024,2500.0,10000.0,8,sn2004ef,1.39,Ia-norm,1,2,0,Ia-norm,0,Ia
403,11,1024,2500.0,10000.0,8,sn2004at,1.05,Ia-norm,1,2,0,Ia-norm,0,Ia
404,1,1024,2500.0,10000.0,8,sn2006bw,1.28,Ia-norm,1,2,0,Ia-norm,0,Ia
405,8,1024,2500.0,10000.0,8,sn2000dk,1.62,Ia-norm,1,2,0,Ia-norm,0,Ia
406,6,1024,2500.0,10000.0,11,sn1994Q,1.03,Ia-norm,1,2,0,Ia-norm,0,Ia
407,1,1024,2500.0,10000.0,9,sn2006eu,1.27,Ia-norm,1,2,0,Ia-norm,0,Ia
408,4,1024,2500.0,10000.0,8,sn2002jg,1.42,Ia-norm,1,2,0,Ia-norm,0,Ia
409,20,1024,2500.0,10000.0,8,sn2006lf,1.3,Ia-norm,1,2,0,Ia-norm,0,Ia
410,1,1024,2500.0,10000.0,10,sn08hs,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
411,6,1024,2500.0,10000.0,8,sn1995ak,1.25,Ia-norm,1,2,0,Ia-norm,0,Ia
412,10,1024,2500.0,10000.0,8,sn1998dm,0.9,Ia-norm,1,2,0,Ia-norm,0,Ia
413,3,1024,2500.0,10000.0,10,sn05el,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
414,4,1024,2500.0,10000.0,8,sn2004bd,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
415,1,1024,2500.0,10000.0,8,sn2001ex,1.56,Ia-norm,1,2,0,Ia-norm,0,Ia
416,11,1024,2500.0,10000.0,8,sn2004L,1.12,Ia-norm,1,2,0,Ia-norm,0,Ia
